Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
en,0.956979738779176,4,0.6155746001301947,1,1,fish,13,1,4,4.0,0.197,7.94e-05,4.0,0.09999999999999,0.197,0.4285714285713673,0.16868245230091997,0.06499999999999968,0.0,0.14285714285713608,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.9422147927474344,4,0.5170177741596526,1,1,fish,0,1,2,4.0,0.398,5.13e-05,2.0,0.12499999999998437,0.398,0.11111111111109877,0.07405600888215999,0.0,0.0,0.08333333333332639,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.8983064088370755,4,0.3977868797363163,1,0,fish,2,2,3,4.5,0.477,7.7734e-06,1.5,0.20833333333331597,0.477,0.0384615384615355,0.007840869921454902,0.05405405405405259,0.2499999999999375,0.14285714285713266,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.8542888529179061,4,0.2789017347580601,1,0,fish,3,1,5,5.0,0.199,4.07e-05,5.0,0.21428571428569898,0.199,0.22580645161288865,0.041580098198908455,0.04109589041095835,0.0,0.04687499999999927,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.9894969761802193,4,0.9999999999997322,1,1,boat,8,3,12,6.666666666666667,0.40599999999999997,1.5689999999999997e-05,4.0,0.3888888888888565,0.40599999999999997,0.23076923076921302,0.01794488900212519,0.21621621621621037,0.499999999999875,0.7857142857142296,boat,a small vessel for travel on water,i50885
en,0.9387047548016335,4,0.5414819372486414,1,1,boat,26,1,2,4.0,0.202,5.13e-05,2.0,0.09999999999999,0.202,0.14285714285712245,0.10632254032018255,0.12999999999999937,0.0,0.047619047619045354,boat,a small vessel for travel on water,i50885
nb,0.9355546365306621,4,0.5644995402443068,1,1,boat,2,1,1,3.0,0.203,5.01e-05,1.0,0.0,0.203,0.0,0.07232176073543428,0.39999999999992,0.0,0.0,boat,a small vessel for travel on water,i50885
it,0.9173029512467404,4,0.3516281870696891,1,0,boat,19,3,9,6.666666666666667,0.4163333333333334,8.995666666666666e-06,3.0,0.33333333333330956,0.4163333333333334,0.09677419354838085,0.008345859976477993,0.26027397260273616,0.18181818181816528,0.1093749999999983,boat,a small vessel for travel on water,i50885
en,0.984148111895323,4,0.7017217399848431,0,1,"bus, coach, passenger vehicle",3,10,18,8.333333333333334,0.49666666666666665,5.856666666666666e-05,3.3333333333333335,0.53333333333328,0.49666666666666665,0.33333333333328574,0.1224488283531609,0.014999999999999925,0.8181818181817438,0.809523809523771,bus,a vehicle carrying many passengers; used for public transport,i51285
es,0.8448382437314798,4,0.28263841913215604,0,1,"bus, coach, passenger vehicle",2,1,1,7.0,0.2,2.04e-05,1.0,0.41666666666663194,0.2,0.0,0.023956299187047645,0.05405405405405259,0.0,0.0,bus,a vehicle carrying many passengers; used for public transport,i51285
it,0.8445330873156353,4,0.14440901915493531,0,0,"bus, coach, passenger vehicle",3,7,9,7.75,0.57625,1.0059725e-05,1.5,0.4107142857142564,0.57625,0.0,0.009461264856964226,0.04109589041095835,0.5454545454544959,0.1093749999999983,bus,a vehicle carrying many passengers; used for public transport,i51285
nb,0.8106340671633485,4,0.23565871167126587,0,1,"bus, coach, passenger vehicle",0,1,1,4.0,0.273,3.89e-05,1.0,0.12499999999998437,0.273,0.0,0.05613544469932769,0.0,0.0,0.0,bus,a vehicle carrying many passengers; used for public transport,i51285
es,0.9185270334668688,4,0.3094813873139506,0,1,cathedral,0,1,2,8.0,0.753,1.82e-05,2.0,0.4999999999999583,0.753,0.076923076923071,0.021148421818294055,0.0,0.0,0.07142857142856633,cathedral,any large and important church,i51645
en,0.8428561633105514,4,0.04738724034986583,0,0,cathedral,2,1,2,9.0,0.865,9.77e-06,2.0,0.59999999999994,0.865,0.14285714285712245,0.014158584997761734,0.00999999999999995,0.0,0.047619047619045354,cathedral,any large and important church,i51645
nb,0.8103728028407425,4,0.0001741698284031945,0,0,cathedral,0,1,1,8.0,0.826,1.05e-06,1.0,0.6249999999999218,0.826,0.0,0.0014343677380210525,0.0,0.0,0.0,cathedral,any large and important church,i51645
it,0.761456269149346,4,0.01645289207463721,0,0,cathedral,0,2,3,7.5,0.6445,1.705e-05,1.5,0.3928571428571148,0.6445,0.0,0.016788858285527095,0.0,0.09090909090908264,0.015624999999999757,cathedral,any large and important church,i51645
nb,0.9721214600259003,4,0.48374363416135846,0,1,"church building, church",1,3,3,8.333333333333334,0.8083333333333332,3.0011833333333336e-05,1.0,0.6666666666665834,0.8083333333333332,0.0,0.04329020589144782,0.19999999999996,0.6666666666664445,0.16666666666665278,church building,a place for public (especially Christian) worship,i51914
en,0.9673791309892608,4,0.39168784664188777,0,1,"church building, church",5,2,5,10.5,0.8734999999999999,0.000114,2.5,0.749999999999925,0.8734999999999999,0.21428571428568366,0.24546725495335822,0.024999999999999876,0.09090909090908264,0.19047619047618142,church building,a place for public (especially Christian) worship,i51914
es,0.9462007359384537,4,0.4225610674861756,0,1,"church building, church",3,1,4,7.0,0.758,0.000132,4.0,0.41666666666663194,0.758,0.23076923076921302,0.16639226025654777,0.08108108108107888,0.0,0.21428571428569898,church building,a place for public (especially Christian) worship,i51914
it,0.916075562432603,4,0.27219685228429935,0,1,"church building, church",4,1,4,6.0,0.658,0.000191,4.0,0.2857142857142653,0.658,0.16129032258063475,0.1991328829338437,0.05479452054794446,0.0,0.031249999999999514,church building,a place for public (especially Christian) worship,i51914
nb,0.9553535191436164,4,0.4714085279690287,1,1,"crown, diadem",0,1,1,5.0,0.792,1.48e-05,1.0,0.24999999999996875,0.792,0.0,0.021305961085919766,0.0,0.0,0.0,crown,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.8968846875203499,4,0.33914176687114056,0,0,"crown, diadem",1,2,13,5.5,0.42700000000000005,1.82725e-05,6.5,0.249999999999975,0.42700000000000005,0.7857142857141735,0.03302745160332116,0.004999999999999975,0.09090909090908264,0.5714285714285443,crown,an ornamental jeweled headdress signifying sovereignty,i52549
it,0.8128002883018689,4,0.1336759709462593,0,0,"crown, diadem",1,2,14,6.5,0.48750000000000004,1.2896e-05,7.0,0.32142857142854847,0.48750000000000004,0.35483870967739645,0.012434405406026623,0.013698630136986115,0.09090909090908264,0.18749999999999709,crown,an ornamental jeweled headdress signifying sovereignty,i52549
es,0.7876239575351303,4,0.19912976347246017,0,0,"crown, diadem",0,1,6,6.0,0.2,2.95e-05,6.0,0.33333333333330556,0.2,0.38461538461535505,0.03557070103052839,0.0,0.0,0.3571428571428316,crown,an ornamental jeweled headdress signifying sovereignty,i52549
nb,0.971434093185004,4,0.5356827772033559,0,1,farm,1,3,5,8.0,0.6186666666666667,6.159566666666667e-06,1.6666666666666667,0.6249999999999218,0.6186666666666667,0.07407407407406585,0.008818748173219478,0.19999999999996,0.6666666666664445,0.33333333333330556,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
es,0.9681159048472869,4,0.5677725020585229,0,0,farm,4,4,15,7.666666666666667,0.8093333333333333,1.5083333333333333e-05,4.333333333333333,0.4722222222221829,0.8093333333333333,0.2564102564102367,0.017170595545893143,0.10810810810810519,0.7499999999998125,0.9999999999999286,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
it,0.8731083242855218,4,0.14355521144479966,0,0,farm,9,4,12,9.0,0.7306666666666667,6.7666666666666665e-06,3.6666666666666665,0.4999999999999643,0.7306666666666667,0.1397849462365501,0.006009298717834145,0.12328767123287503,0.27272727272724795,0.15624999999999759,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
en,0.8155067299835127,4,0.24821345422037075,0,1,farm,13,1,1,4.0,0.204,5.62e-05,1.0,0.09999999999999,0.204,0.0,0.11719668867269548,0.06499999999999968,0.0,0.0,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0.8768565668660586,4,0.235983245466072,0,1,guitar,0,1,1,5.0,0.694,1.32e-05,1.0,0.24999999999996875,0.694,0.0,0.018993630223618826,0.0,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.8692152124025222,4,0.3151566128952991,0,1,guitar,1,1,2,8.0,0.197,1.86e-05,2.0,0.4999999999999583,0.197,0.076923076923071,0.021658944976249258,0.027027027027026296,0.0,0.07142857142856633,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
en,0.72740517783578,4,0.008309683000992621,0,0,guitar,6,1,1,6.0,0.592,3.02e-05,1.0,0.29999999999997,0.592,0.0,0.05949712598589218,0.02999999999999985,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
